strategies,coin,interval,tp_pct,sl_pct,min_confidence,trades,wins,win_rate,total_pnl,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,7.0,1.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,7.0,3.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,7.0,5.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,2.0,1.0,10,0,40.00,0.00,0.0000,1032029.91,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,2.0,3.0,10,0,40.00,0.00,0.0000,1032029.91,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,2.0,5.0,10,0,40.00,0.00,0.0000,1032029.91,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,3.0,1.0,10,0,40.00,0.00,0.0000,1009972.55,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,3.0,3.0,10,0,40.00,0.00,0.0000,1009972.55,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,3.0,5.0,10,0,40.00,0.00,0.0000,1009972.55,2,3,0
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,5.0,1.0,10,0,40.00,0.00,0.0000,976648.74,2,1,2
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,5.0,3.0,10,0,40.00,0.00,0.0000,976648.74,2,1,2
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,5.0,5.0,10,0,40.00,0.00,0.0000,976648.74,2,1,2
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,7.0,1.0,10,0,40.00,0.00,0.0000,976648.74,2,0,3
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,7.0,3.0,10,0,40.00,0.00,0.0000,976648.74,2,0,3
THREE_MARKET_PATTERN,KRW-ADA,240,5.0,7.0,5.0,10,0,40.00,0.00,0.0000,976648.74,2,0,3
THREE_MARKET_PATTERN,KRW-ADA,240,7.0,2.0,1.0,10,0,20.00,0.00,0.0000,956458.83,1,4,0
THREE_MARKET_PATTERN,KRW-ADA,240,7.0,2.0,3.0,10,0,20.00,0.00,0.0000,956458.83,1,4,0
THREE_MARKET_PATTERN,KRW-ADA,240,7.0,2.0,5.0,10,0,20.00,0.00,0.0000,956458.83,1,4,0
